Episode,Action Sequence
1,"[np.int64(0), np.int64(1), 0, np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), 0, np.int64(3), np.int64(0), np.int64(1), 1, np.int64(0), np.int64(0), np.int64(2), np.int64(3), 1, np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 0, np.int64(0), np.int64(1), np.int64(1), np.int64(0), 3, np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(3), 2, np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), 3, np.int64(0), np.int64(1), np.int64(0), 2, np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(1), 3, np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 3, np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), 3, np.int64(3), np.int64(2), 3, np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), 1, 3, np.int64(3), 3, np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(2), 2, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(0), 0, np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), 3, np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), 2, np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), 1, 1, np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), 0, np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), 3, np.int64(3), np.int64(3), np.int64(3), np.int64(3), 0, np.int64(2), np.int64(0), np.int64(2), 3, np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(0), 1, 1, np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), 0, np.int64(2), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), 2, np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(0), 1, np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(0), 0, np.int64(2), 1, 2, np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 0, np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), 0, np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), 2, np.int64(1), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(2), np.int64(3), np.int64(3), 3, np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 2, np.int64(1), np.int64(0), np.int64(2), 0, np.int64(2), np.int64(0), 1, np.int64(2), np.int64(0), np.int64(3), np.int64(2), np.int64(3), np.int64(0), 3, np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), 0, np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
2,"[np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 2, np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(2), 2, np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(1), 3, np.int64(3), np.int64(3), np.int64(3), 1, np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(3), 2, 3, np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(2), np.int64(0), np.int64(3), np.int64(3), 3, np.int64(3), np.int64(1)]"
3,"[np.int64(3), np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(2), np.int64(0), np.int64(2), 1, np.int64(0), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(1), np.int64(1), 3, np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(2), np.int64(0), 0, np.int64(2), 3, np.int64(3), np.int64(0), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), 3, np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 2, np.int64(3), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(3), 0, np.int64(3), np.int64(0), np.int64(1), np.int64(3), np.int64(2), 0, np.int64(2), np.int64(0), 0, np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), 3, np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), 1, np.int64(1), np.int64(2), np.int64(1), np.int64(2), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
4,"[np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), 2, 0, np.int64(0), np.int64(0), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(3), 2, np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), 0, np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1), 0, np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(3), np.int64(1), 3, np.int64(2), np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(2), 2, np.int64(1), np.int64(0), np.int64(1), 2, np.int64(3), np.int64(3), np.int64(0), 1, np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(1), 1, np.int64(1)]"
5,"[np.int64(3), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(1), 1, np.int64(2), np.int64(1), 3, 2, np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3)]"
6,"[np.int64(3), np.int64(0), 0, np.int64(1), np.int64(2), np.int64(0), 0, np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(3), 2, np.int64(2), np.int64(3), np.int64(0), np.int64(0), np.int64(3), np.int64(2), np.int64(2), 2, np.int64(2), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(0), 0, np.int64(0), 0, np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(3), 0, np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(2), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(3), 2, np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(2), 2, np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(0), 1, np.int64(2), np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(0), 2, np.int64(3), np.int64(0), np.int64(1), 3, np.int64(2), np.int64(1), np.int64(1), 0, np.int64(2), 3, np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(3), np.int64(0), 2, np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(2), np.int64(2), 1, np.int64(1), 3, np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(3), 0, np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), 3, np.int64(3), 1, np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(0), 1, np.int64(3), 3, 3, np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(3), np.int64(2), np.int64(0), np.int64(0), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 2, np.int64(2), 1, np.int64(3), np.int64(3), np.int64(1), np.int64(0), 0, np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(2), 2, np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(3), np.int64(2), np.int64(0), np.int64(0), np.int64(3), 0, np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(3), 3, np.int64(3), np.int64(2), np.int64(3), 1, np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(3), np.int64(2), np.int64(2), np.int64(0), np.int64(2), 3, np.int64(0), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(3), 2, 2, np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(0), np.int64(1), 0, np.int64(2), np.int64(0), 2, np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(1), 1, np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(0), np.int64(3), 1, np.int64(0), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), 3, np.int64(1)]"
7,"[0, np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(0), np.int64(3), np.int64(1), np.int64(3), np.int64(2), np.int64(0), 3, np.int64(0), np.int64(0), np.int64(2), np.int64(0), np.int64(1), 3, np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(0), 0, np.int64(3), np.int64(0), 3, np.int64(3), np.int64(3), 3, np.int64(3), np.int64(2), 1, np.int64(2), np.int64(3), np.int64(3), np.int64(0), np.int64(0), np.int64(1), 0, np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(1), 2, np.int64(2), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(3), np.int64(3), np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(2), np.int64(2), 1, np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
8,"[np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(0), np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(1), 0, np.int64(3), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(2), np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(0), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(2), 1, 3, np.int64(3), np.int64(1), 2, np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(3), 3, np.int64(0), np.int64(3), np.int64(3), np.int64(1), 0, np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(1)]"
9,"[np.int64(1), np.int64(2), np.int64(1), 3, np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(2), 3, np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(0), np.int64(3), np.int64(2), 3, np.int64(1), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]"
10,"[np.int64(2), np.int64(3), np.int64(3), np.int64(3), np.int64(0), np.int64(3), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(2), np.int64(2), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(0), np.int64(2), np.int64(0), np.int64(2), 0, np.int64(2), 2, np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(3), 1, np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(2), np.int64(0), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(2), 2, np.int64(3), np.int64(0), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(3), np.int64(0), np.int64(0), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(2), 2, np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), 2, np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(2), np.int64(0), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(0), 1, np.int64(1), np.int64(3), np.int64(1), np.int64(2), np.int64(2), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(3), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(0), np.int64(0), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(2), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(0), np.int64(3), np.int64(0), np.int64(2), np.int64(1), np.int64(2), np.int64(0), np.int64(2), np.int64(2), np.int64(3), 0, np.int64(2), np.int64(1), np.int64(1), np.int64(1), 0, np.int64(2), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(0), np.int64(3), np.int64(1), np.int64(3), np.int64(1), np.int64(0), np.int64(0), np.int64(2), np.int64(3), np.int64(0), np.int64(1), np.int64(1), np.int64(3), 0, np.int64(2), np.int64(3), 1, np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(3), np.int64(3), np.int64(3), 2, np.int64(3), np.int64(1)]"
